OBJECTID,NHSD_OPERATIONALSTATUS,NHSD_ORGANISATION_NAME,NHSD_ADDRESS,NHSD_SUBURB,NHSD_STATE,NHSD_POSTCODE,NHSD_LONG,NHSD_LAT,NHSD_SERVICE_ID,NHSD_SERVICE_TYPE,GNAF_ADDRESS_DETAIL_PID,GA_CLASS,GA_SOURCE_DATE
5124,active,Gold Cross Medical Centre,1a Grose Street North Parramatta NSW 2151,North Parramatta,NSW,2151,151.0077057,-33.80682755,5db44086-18e0-8ddb-24c0-b1a9c3dc8ea8,General practice service,,GENERAL PRACTICE,2024-03-05
5125,active,Therapon Medical Clinic,3 Blyth Street Brunswick VIC 3056,Brunswick,VIC,3056,144.9631195,-37.76542282,21f93688-90bc-1127-1a8a-a92af3a990e7,General practice service,GAVIC421626576,GENERAL PRACTICE,2024-03-05
5126,active,The First Step Program,42 Carlisle Street St Kilda VIC 3182,St Kilda,VIC,3182,144.9824066,-37.86706543,5bec79f8-16f2-ba60-0d23-0a7080a6134f,General practice service,GAVIC419979099,GENERAL PRACTICE,2024-03-05
5127,active,Danila Dilba - Bagot Clinic,133 Bagot Road Ludmilla NT 0820,Ludmilla,NT,820,130.854602,-12.415417,03229768-ed6a-f84a-81ad-fd563d121039,General practice service,GANT_703838201,GENERAL PRACTICE,2024-03-05
5128,active,Crystal Brook Medical Practice,Claridge Road Crystal Brook SA 5523,Crystal Brook,SA,5523,138.2138138,-33.35477406,bb37fac0-d2af-9015-8505-ca8dc47863a3,General practice service,,GENERAL PRACTICE,2024-03-05
5129,active,Pika Wiya Health Service Aboriginal Corporation,40-46 Dartmouth Street Port Augusta SA 5701,Port Augusta,SA,5701,137.7746712,-32.4953252,6e21abda-9c83-cb7d-3087-df797b8c1d2f,General practice service,,GENERAL PRACTICE,2024-03-05
5130,active,McKay Street Surgery,5 Mckay Street Macksville NSW 2447,Macksville,NSW,2447,152.9185594,-30.70626645,f411ace2-93e6-4c7b-b2d3-8767e937dfa8,General practice service,GANSW705259076,GENERAL PRACTICE,2024-03-05
5131,active,Sunshine Ultimate Care Clinic,127 Durham Road Sunshine VIC 3020,Sunshine,VIC,3020,144.8297145,-37.78857721,dc950b33-84f7-5e60-1b24-57f1bb8fba50,General practice service,GAVIC420510686,GENERAL PRACTICE,2024-03-05
5132,active,Yarralin Primary Health Centre,Yarralin Community Yarralin NT 0852,Yarralin,NT,852,130.8822479,-16.44883919,736cdf02-5063-47df-ac68-f8c4f0187a06,General practice service,,GENERAL PRACTICE,2024-03-05
5133,active,Inala Indigenous Health Centre,37 Wirraway Parade Inala QLD 4077,Inala,QLD,4077,152.9712372,-27.5999527,c1bf46f0-c7c3-2009-99f4-85acfaf436cc,General practice service,GAQLD156665957,GENERAL PRACTICE,2024-03-05
5134,active,Ochre Medical Centre - Creswick,58 Albert Street Creswick VIC 3363,Creswick,VIC,3363,143.8952764,-37.4232139,e48f0610-54f2-4d23-b373-56ccef01751a,General practice service,GAVIC420265618,GENERAL PRACTICE,2024-03-05
5135,active,NCN Health - Nathalia Hospital,36-44 Mcdonell Street Nathalia VIC 3638,Nathalia,VIC,3638,145.1976624,-36.05633926,18b22987-c60a-b10b-06fe-c434df9e796f,General practice service,GAVIC424450565,GENERAL PRACTICE,2024-03-05
5136,active,Waurn Ponds Medical Centre,Cnr Colac And Pioneer Road Waurn Ponds VIC 3216,Waurn Ponds,VIC,3216,144.316446,-38.1995,3ff284e8-993b-4fbe-b085-1b1fb7075f3c,General practice service,,GENERAL PRACTICE,2024-03-05
5137,active,Kintsugi Holistic Health,7 Beissel Street Belconnen ACT 2617,Belconnen,ACT,2617,149.0650519,-35.23538563,69c75a76-6aea-4566-af5c-d7918d09cfc1,General practice service,GAACT715293684,GENERAL PRACTICE,2024-03-05
5138,active,Clifford Gardens Medical Centre,100-124 Anzac Avenue Newtown QLD 4350,Newtown,QLD,4350,151.9324069,-27.5648912,bb740de2-1dc4-40c9-96fa-d7e837f9ca51,General practice service,GAQLD160965996,GENERAL PRACTICE,2024-03-05
5139,active,Mornington Coastal Medical Centre,958 Nepean Highway Mornington VIC 3931,Mornington,VIC,3931,145.0435333,-38.2312088,3d7b5701-b0ff-ab61-d659-75d008432246,General practice service,GAVIC419574525,GENERAL PRACTICE,2024-03-05
5140,active,Navara Medical & Aesthetics,72 Stephensons Road Mount Waverley VIC 3149,Mount Waverley,VIC,3149,145.1314957,-37.86434364,f9821fe1-111a-4f27-aa89-eb3ea6b4df96,General practice service,GAVIC420674293,GENERAL PRACTICE,2024-03-05
5141,active,Stanhope Health,35 Birdwood Avenue Stanhope VIC 3623,Stanhope,VIC,3623,144.9848175,-36.44590759,fd6f2faf-8c15-f29c-9231-c47dcfbc8b5c,General practice service,,GENERAL PRACTICE,2024-03-05
5142,active,Tregear Medical Centre,159 Aurora Drive Tregear NSW 2770,Tregear,NSW,2770,150.795654,-33.745014,4241a00e-7a54-e71c-8597-7f68666f2d4e,General practice service,GANSW712935267,GENERAL PRACTICE,2024-03-05
5143,active,Clarendon Medical,446 Clarendon Street South Melbourne VIC 3205,South Melbourne,VIC,3205,144.9626653,-37.83819931,46201b2b-977c-46b6-ba50-a43e1d8ab298,General practice service,GAVIC419686051,GENERAL PRACTICE,2024-03-05
5144,active,Kooringal Medical Centre,295 Lake Albert Road Wagga Wagga NSW 2650,Wagga Wagga,NSW,2650,147.3781281,-35.12087631,65bf3398-8f2b-8b3a-edb8-30cc88dfe345,General practice service,,GENERAL PRACTICE,2024-03-05
5145,active,Caneland Medical Centre,2 Mangrove Road Mackay QLD 4740,Mackay,QLD,4740,149.1779938,-21.13826942,1becaff7-69f9-db40-b9ab-e09fd857c9ce,General practice service,GAQLD425003882,GENERAL PRACTICE,2024-03-05
5146,active,Central Medical Group - Wodonga,224 Beechworth Road Wodonga VIC 3690,Wodonga,VIC,3690,146.8882294,-36.12814713,2eaa860f-2633-27df-7194-bd07746c27ff,General practice service,GAVIC420959840,GENERAL PRACTICE,2024-03-05
5147,active,Riverlink Family Practice,279 Brisbane Street West Ipswich QLD 4305,West Ipswich,QLD,4305,152.7509592,-27.61561512,c3207632-e665-d260-c32c-15987edee3b9,General practice service,GAQLD157281600,GENERAL PRACTICE,2024-03-05
5148,active,Mariners Medical Tuggerah,3/1 Bryant Drive Tuggerah NSW 2259,Tuggerah,NSW,2259,151.4236908,-33.3132782,089bef05-a394-2a08-9af6-04854df0de29,General practice service,,GENERAL PRACTICE,2024-03-05
5149,active,Genbiome Medical Clinic,2 New Mclean Street Edgecliff NSW 2027,Edgecliff,NSW,2027,151.2321447,-33.8789494,1d0625e6-e0b6-4dc9-b017-276b917926a0,General practice service,,GENERAL PRACTICE,2024-03-05
5150,active,Burdekin Road Medical Centre,85 Camilleri Avenue Quakers Hill NSW 2763,Quakers Hill,NSW,2763,150.887146,-33.71237183,886ffffd-90b1-98a1-8613-57b9fff18076,General practice service,,GENERAL PRACTICE,2024-03-05
5151,active,Rooftop Medical Practice Thornleigh,263 Pennant Hills Road Thornleigh NSW 2120,Thornleigh,NSW,2120,151.082004,-33.731536,ea365f88-c9a4-42e8-b130-9df41a3a8af5,General practice service,,GENERAL PRACTICE,2024-03-05
5152,active,Galiwin'ku Health Centre,Burmala Street Galiwinku NT 0822,Galiwinku,NT,822,135.5680389,-12.02007389,d1491cf9-6c12-22ad-8e9f-6509b52ca9de,General practice service,,GENERAL PRACTICE,2024-03-05
5153,active,Caledonian Medical Group,12 Walker Street Bowral NSW 2576,Bowral,NSW,2576,150.4151611,-34.4842186,50de821e-35cb-e4be-3e6f-23d7e3ba7ef7,General practice service,GANSW704210573,GENERAL PRACTICE,2024-03-05
5154,active,City Family Practice,161 London Circuit City ACT 2601,City,ACT,2601,149.1311978,-35.28022246,c12a33bf-60ca-a664-060b-175504c1c05a,General practice service,GAACT714884731,GENERAL PRACTICE,2024-03-05
5155,active,Eastwood Medical Centre,1 Lakeside Road Eastwood NSW 2122,Eastwood,NSW,2122,151.0804443,-33.79029083,074067ea-0a9d-2742-3468-97c590abdc39,General practice service,GANSW710921813,GENERAL PRACTICE,2024-03-05
5156,active,Lighthouse Medical Centre - Port Macquarie,40 Watonga Street Port Macquarie NSW 2444,Port Macquarie,NSW,2444,152.9259033,-31.47765732,c33250c5-c0de-4de0-ed1a-143f963c4f71,General practice service,GANSW705740586,GENERAL PRACTICE,2024-03-05
5157,active,Leeming Doctors on Calley And South,71 Calley Drive Leeming WA 6149,Leeming,WA,6149,115.8562851,-32.06655884,0a6dc850-9a56-f434-a3f9-896e269f723a,General practice service,,GENERAL PRACTICE,2024-03-05
5158,active,Rhodes Family Practice,46 Walker Street Rhodes NSW 2138,Rhodes,NSW,2138,151.0870361,-33.82740784,b649863f-f3d8-f235-f956-d7c72fbce4cf,General practice service,GANSW718708741,GENERAL PRACTICE,2024-03-05
5159,active,Bondi Junction Medical and Dental Centre,3a Bronte Road Bondi Junction NSW 2022,Bondi Junction,NSW,2022,151.2494354,-33.89276886,7143beff-b4be-6c9c-fb27-2a143e4ae3d8,General practice service,GANSW710379324,GENERAL PRACTICE,2024-03-05
5160,active,Liverpool Plaza Medical Centre,161 Macquarie Street Liverpool NSW 2170,Liverpool,NSW,2170,150.9234161,-33.9215889,432e4afb-f1b7-2ed4-483d-f8fe0ea7da20,General practice service,,GENERAL PRACTICE,2024-03-05
5161,active,Heal Medical Centre,366 Scenic Drive San Remo NSW 2262,San Remo,NSW,2262,151.5282745,-33.21027374,c011e143-c361-fb58-e696-a10c81f3dc92,General practice service,GANSW705865517,GENERAL PRACTICE,2024-03-05
5162,active,Hawker Medical Centre,9 Druid Range Drive Hawker SA 5434,Hawker,SA,5434,138.4284973,-31.8939743,c1d19ee4-de02-4caf-bd22-0ff7f0b0988e,General practice service,GASA_425138057,GENERAL PRACTICE,2024-03-05
5163,active,Bidgerdii Community Health Service - Rockhampton,88 High Street Berserker QLD 4701,Berserker,QLD,4701,150.5272193,-23.35902511,e5dd22ef-c5bb-9274-1153-a8127b80ef05,General practice service,GAQLD156969972,GENERAL PRACTICE,2024-03-05
5164,active,Sunshine Marketplace Medical Centre,80 Harvester Road Sunshine VIC 3020,Sunshine,VIC,3020,144.8314819,-37.78037643,43850003-5802-54e1-6425-258a63fe6084,General practice service,GAVIC423544427,GENERAL PRACTICE,2024-03-05
5165,active,Myhealth Castle Towers,6-14 Castle Street Castle Hill NSW 2154,Castle Hill,NSW,2154,151.006424,-33.73017502,f3c8b9ff-f5a4-f05c-fbf7-ce9af45598b3,General practice service,,GENERAL PRACTICE,2024-03-05
5166,active,Belgian Gardens Medical Centre,23 Bundock Street Belgian Gardens QLD 4810,Belgian Gardens,QLD,4810,146.7988049,-19.24495607,97ba5801-8352-b3fe-2704-25f486869646,General practice service,GAQLD156262940,GENERAL PRACTICE,2024-03-05
5167,active,Cambridge Medical Practice,142 Cambridge Street West Leederville WA 6007,West Leederville,WA,6007,115.83183,-31.94048,c05a1583-ec95-4d30-5295-a23aba2111a0,General practice service,GAWA_146656437,GENERAL PRACTICE,2024-03-05
5168,active,Yarra Medical and Cosmetic Centre,657 Chapel Street South Yarra VIC 3141,South Yarra,VIC,3141,144.9957886,-37.83692932,edeb8484-884a-5f45-ab1b-07cfbddc57da,General practice service,,GENERAL PRACTICE,2024-03-05
5169,active,Advanced Functional Medicine Sydney,903/50 Clarence Street Sydney NSW 2000,Sydney,NSW,2000,151.205619,-33.86444781,5b023468-ff07-4171-9c1b-1433e7b757d7,General practice service,,GENERAL PRACTICE,2024-03-05
5170,active,Pramana Medical Centre,13 Wheatley Street Gosnells WA 6110,Gosnells,WA,6110,115.997062,-32.06983649,96d45e25-f82b-480c-82e3-0d910a488122,General practice service,GAWA_162694059,GENERAL PRACTICE,2024-03-05
5171,active,The Lismore Clinic,185 Molesworth Street Lismore NSW 2480,Lismore,NSW,2480,153.2735901,-28.8115654,8e14052d-1b40-d8b2-b8b0-33556c7aaea5,General practice service,,GENERAL PRACTICE,2024-03-05
5172,active,Our Medical Home Marsden Park,9 Hollinsworth Road Marsden Park NSW 2765,Marsden Park,NSW,2765,150.8403931,-33.71974564,f03614b5-60c4-ed1e-6a45-d16acdc0ec8d,General practice service,GANSW719188158,GENERAL PRACTICE,2024-03-05
5173,active,Eric Street Medical Centre,36 Eric Street Cottesloe WA 6011,Cottesloe,WA,6011,115.7572403,-31.98928833,b2aa1eab-3e4e-4b2b-f9e1-5636dd09b588,General practice service,GAWA_148350597,GENERAL PRACTICE,2024-03-05
5174,active,Brunswick Community Clinic,55 Albion Street Brunswick VIC 3056,Brunswick,VIC,3056,144.9730377,-37.76188278,838b733e-e33e-0a62-e6a6-298ed023e6e1,General practice service,GAVIC410985614,GENERAL PRACTICE,2024-03-05
5175,active,Malek Medical Centre - Howard,74 William Street Howard QLD 4659,Howard,QLD,4659,152.5620621,-25.31843206,75e745b9-88de-4678-ad2d-7f6701d41124,General practice service,GAQLD155410895,GENERAL PRACTICE,2024-03-05
5176,active,Dickson General Practice,151 Cowper Street Dickson ACT 2602,Dickson,ACT,2602,149.1405029,-35.24937057,fcf26098-d253-66d2-df15-1210e6436175,General practice service,GAACT715102983,GENERAL PRACTICE,2024-03-05
5177,active,Varsity Lakes Family Practice,154 Varsity Parade Varsity Lakes QLD 4227,Varsity Lakes,QLD,4227,153.4097016,-28.08031642,19260760-f69a-4de9-fd6b-3cee54c72524,General practice service,,GENERAL PRACTICE,2024-03-05
5178,active,Everyday Medical,640 Albany Creek Road Albany Creek QLD 4035,Albany Creek,QLD,4035,152.9759521,-27.34665871,e0357ef7-ab6f-25d6-ac17-65b502062a22,General practice service,GAQLD162380307,GENERAL PRACTICE,2024-03-05
5179,active,Beach End Medical Clinic 36 Main Street Mornington 3931 Vic,36 Main Street Mornington VIC 3931,Mornington,VIC,3931,145.0379944,-38.21749115,1c96a166-e759-cdc2-ffa4-ccf3067c6dff,General practice service,GAVIC420482129,GENERAL PRACTICE,2024-03-05
5180,active,Healthcare Doctors Indooroopilly,11 Musgrave Road Indooroopilly QLD 4068,Indooroopilly,QLD,4068,152.9697665,-27.4979647,b7ecf353-f219-4aa5-a9db-a62b44174921,General practice service,,GENERAL PRACTICE,2024-03-05
5181,active,North Eastern Health Centre,1299 North East Road Tea Tree Gully SA 5091,Tea Tree Gully,SA,5091,138.720948,-34.820543,e82ffc92-89c4-4314-3c6b-1c184f3cb270,General practice service,GASA_415257752,GENERAL PRACTICE,2024-03-05
5182,active,Bulahdelah Health Campus,12 Richmond Street Bulahdelah NSW 2423,Bulahdelah,NSW,2423,152.2119598,-32.40393829,c95dac54-7dc2-f0da-af03-e35cabc44da4,General practice service,GANSW717898423,GENERAL PRACTICE,2024-03-05
5183,active,Pearsall Medical and Dental Centre,155 Willespie Drive Pearsall WA 6065,Pearsall,WA,6065,115.8186874,-31.78087425,b94f9a71-21d4-37c8-9481-ca919052303f,General practice service,GAWA_718538700,GENERAL PRACTICE,2024-03-05
5184,active,O Plus Health - Grafton,52-74 Fitzroy Street Grafton NSW 2460,Grafton,NSW,2460,152.9339221,-29.6914827,00014a37-c3b0-4fc4-9212-0a66b6c9f6ec,General practice service,,GENERAL PRACTICE,2024-03-05
5185,active,Grange Medical Centre - Rockingham,7-9 Grange Drive Cooloongup WA 6168,Cooloongup,WA,6168,115.7620773,-32.29558563,7ec9c6fb-78c0-3561-58dd-cadf8cd37a20,General practice service,GAWA_148921470,GENERAL PRACTICE,2024-03-05
5186,active,Gatton Medical Centre,15 William Street Gatton QLD 4343,Gatton,QLD,4343,152.2788696,-27.55729485,ddbc6b56-e107-f961-4d40-c7d769b056a5,General practice service,GAQLD156583475,GENERAL PRACTICE,2024-03-05
5187,active,cohealth - Braybrook,107-139 Churchill Avenue Braybrook VIC 3019,Braybrook,VIC,3019,144.8532867,-37.7868576,50aeaec2-3ea5-54d2-d778-2022915bf221,General practice service,,GENERAL PRACTICE,2024-03-05
5188,active,Leinster Medical Centre,1 Link Road Leinster WA 6437,Leinster,WA,6437,120.6977768,-27.91325951,f96c6daf-13f5-9a57-3408-c63d6f953e26,General practice service,GAWA_147071052,GENERAL PRACTICE,2024-03-05
5189,active,Woollahra General Practice,16 Oxford Street Woollahra NSW 2025,Woollahra,NSW,2025,151.2325897,-33.8887825,7cc0a1d6-9553-9648-c847-eacf09167d64,General practice service,,GENERAL PRACTICE,2024-03-05
5190,active,Your Health Place Medical Centre,1176 Glen Huntly Road Glen Huntly VIC 3163,Glen Huntly,VIC,3163,145.0432129,-37.88970566,d897f022-08f4-ad4e-5f8d-072a7d0e02b8,General practice service,GAVIC419922692,GENERAL PRACTICE,2024-03-05
5191,active,Central General Practice Mansfield,38 Highett Street Mansfield VIC 3722,Mansfield,VIC,3722,146.0882874,-37.05413055,f0abfddc-4667-547e-2aaf-f1ebb5f57250,General practice service,GAVIC421496875,GENERAL PRACTICE,2024-03-05
5192,active,Forrest Road Medical Centre,65 Forrest Road Padbury WA 6025,Padbury,WA,6025,115.7637711,-31.80056572,2dcc5b71-5ded-f7f8-43fd-ea4b1a772ddb,General practice service,GAWA_146856897,GENERAL PRACTICE,2024-03-05
5193,active,Clayfield Medical Centre,533 Sandgate Road Clayfield QLD 4011,Clayfield,QLD,4011,153.0509338,-27.42585945,b4882f38-0925-9b19-5955-4d5fe08bdb2e,General practice service,GAQLD155183661,GENERAL PRACTICE,2024-03-05
5194,active,Murray Street Medical,75 Murray Street Gawler SA 5118,Gawler,SA,5118,138.7496643,-34.60003281,05543c63-94a5-d403-bf1a-0863b92bb8ee,General practice service,,GENERAL PRACTICE,2024-03-05
5195,active,Dr Julian Chin,82 Keith Compton Drive Tweed Heads NSW 2485,Tweed Heads,NSW,2485,153.5467529,-28.18203386,394f1650-548c-44fc-8ae9-ade2d771ad70,General practice service,GANSW713159079,GENERAL PRACTICE,2024-03-05
5196,active,Rowville Health,12 St Lawrance Way Rowville VIC 3178,Rowville,VIC,3178,145.2574463,-37.91441345,20dfbb72-28ef-adc9-ea9e-4453bb37d911,General practice service,GAVIC422325127,GENERAL PRACTICE,2024-03-05
5197,active,The Boulevarde Family Practice,43 The Boulevarde Toronto NSW 2283,Toronto,NSW,2283,151.5955847,-33.01330867,4d68443f-3b4c-0b8d-7cc2-4469a763a95a,General practice service,,GENERAL PRACTICE,2024-03-05
5198,active,188 Medical,188 Brisbane Road Arundel QLD 4214,Arundel,QLD,4214,153.3877716,-27.93434143,32448364-cce9-9271-b74a-4e87b31d4dd7,General practice service,GAQLD155485674,GENERAL PRACTICE,2024-03-05
5199,active,Enmore Medical Practice,134-146 Enmore Road Enmore NSW 2042,Enmore,NSW,2042,151.1737671,-33.89880371,bcef2f20-5284-bdcc-e3d4-31e9d1c4ed0a,General practice service,,GENERAL PRACTICE,2024-03-05
5200,active,Mandala Clinic,360 Belgrave-Gembrook Road Emerald VIC 3782,Emerald,VIC,3782,145.4419403,-37.93208313,b96c1971-c1f1-fae6-7d0d-5f0e17991b2b,General practice service,GAVIC421129734,GENERAL PRACTICE,2024-03-05
5201,active,Leanyer Medical Clinic,9 Leanyer Drive Leanyer NT 0812,Leanyer,NT,812,130.89534,-12.37689877,c6c2692d-19cb-07c2-cecb-4e0f231518a8,General practice service,GANT_703842985,GENERAL PRACTICE,2024-03-05
5202,active,Berrimah Family Practice,798 Vanderlin Drive Berrimah NT 0828,Berrimah,NT,828,130.9234009,-12.43219948,646a61cc-965f-2042-dfa6-dfb9a7e1a266,General practice service,,GENERAL PRACTICE,2024-03-05
5203,active,Glenmount Medical Clinic,598 High Street Road Glen Waverley VIC 3150,Glen Waverley,VIC,3150,145.1506195,-37.87281418,4ca4ced3-3e77-4274-7138-14db89975a13,General practice service,GAVIC421563073,GENERAL PRACTICE,2024-03-05
5204,active,Western Family Medical Centre,204 Station Road Cairnlea VIC 3023,Cairnlea,VIC,3023,144.777802,-37.755554,81b6d65f-af12-ea0c-4805-297541b71568,General practice service,GAVIC420012739,GENERAL PRACTICE,2024-03-05
5205,active,Ochre Medical Centre Jamieson,74 Hopkins Pnt Road Warrnambool VIC 3280,Warrnambool,VIC,3280,142.5286142,-38.39923296,6ee8cbe9-e175-478b-9971-cfb55cf4a55b,General practice service,,GENERAL PRACTICE,2024-03-05
5206,active,Belgrave-Hallam Road Medical Centre,156 Belgrave-Hallam Road Narre Warren VIC 3805,Narre Warren,VIC,3805,145.2900238,-37.99102402,8596f1b9-373e-461a-5113-aae8388eb712,General practice service,,GENERAL PRACTICE,2024-03-05
5207,active,Eaglehawk Medical Centre,13-21 Peg Leg Road Eaglehawk VIC 3556,Eaglehawk,VIC,3556,144.25111,-36.717975,74eb8723-5cbb-419e-513d-6f2cd3324dc7,General practice service,GAVIC422100620,GENERAL PRACTICE,2024-03-05
5208,active,Knox Gardens Medical Centre,2 Fonteyn Drive Wantirna South VIC 3152,Wantirna South,VIC,3152,145.2205353,-37.8772316,65e7c42b-24e4-670b-47aa-7d22a6fd8772,General practice service,GAVIC420744077,GENERAL PRACTICE,2024-03-05
5209,active,The Surgery - Spencer Park,8 Hardie Road Spencer Park WA 6330,Spencer Park,WA,6330,117.8994827,-35.00767517,7dc806a9-cbc8-981f-78f7-930068a502da,General practice service,GAWA_718216368,GENERAL PRACTICE,2024-03-05
5210,active,Chadstone Road Clinic,21-23 Chadstone Road Malvern East VIC 3145,Malvern East,VIC,3145,145.0781708,-37.88498688,90894f78-a99b-9d13-26bc-5978422e6b9a,General practice service,GAVIC419673210,GENERAL PRACTICE,2024-03-05
5211,active,Myhealth Regents Park,3358 Mount Lindesay Highway Regents Park QLD 4118,Regents Park,QLD,4118,153.034897,-27.665969,fc1ee4ac-4357-b448-b694-980f36a1ed40,General practice service,,GENERAL PRACTICE,2024-03-05
5212,active,Forest Hill Medical Centre - Wagga Wagga,34 Allonby Avenue Forest Hill NSW 2651,Forest Hill,NSW,2651,147.465942,-35.148842,7cac1a7c-b855-2218-3d49-6c8e7c531eb9,General practice service,,GENERAL PRACTICE,2024-03-05
5213,active,Medical & Dental Practice - Springvale,12 St James Avenue Springvale VIC 3171,Springvale,VIC,3171,145.1499939,-37.9544487,febd7a32-5545-fac5-b38c-f3260c22519c,General practice service,,GENERAL PRACTICE,2024-03-05
5214,active,Top Care Medical Centre - Wantirna South,185 Stud Road Wantirna South VIC 3152,Wantirna South,VIC,3152,145.2411499,-37.85866165,2167943d-ff5c-4eca-66ed-c3d6c1fd7789,General practice service,GAVIC419865139,GENERAL PRACTICE,2024-03-05
5215,active,New Life Medical Centre,71 Police Road Mulgrave VIC 3170,Mulgrave,VIC,3170,145.1650848,-37.93389511,0427542c-8177-01da-5899-cf949b467bd8,General practice service,GAVIC420385297,GENERAL PRACTICE,2024-03-05
5216,active,Broome Medical Clinic,26 Robinson Street Broome WA 6725,Broome,WA,6725,122.2370834,-17.95975304,65884110-1006-149a-bfd0-222225607702,General practice service,GAWA_147002602,GENERAL PRACTICE,2024-03-05
5217,active,Officer Family Doctors,445 Princes Highway Officer VIC 3809,Officer,VIC,3809,145.41174,-38.06024,a66c450e-2c84-4f9f-af15-ab5be1378289,General practice service,,GENERAL PRACTICE,2024-03-05
5218,active,Pier Street Medical,305 Pier Street Perth WA 6000,Perth,WA,6000,115.8679886,-31.94570351,19c4cc58-7c66-35c2-72b5-aee851a31d95,General practice service,GAWA_146653863,GENERAL PRACTICE,2024-03-05
5219,active,Altona Superclinic,1 Central Avenue Altona Meadows VIC 3028,Altona Meadows,VIC,3028,144.7762451,-37.87150955,2ef9a22c-92e7-f2cb-d5cd-14c28b57b2d6,General practice service,,GENERAL PRACTICE,2024-03-05
5220,active,Family Medical Practice Springvale,84 Springvale Road Springvale VIC 3171,Springvale,VIC,3171,145.1540375,-37.94092941,cf8e89ff-0d73-842f-d476-69b390cd5187,General practice service,GAVIC421105241,GENERAL PRACTICE,2024-03-05
5221,active,Generations Family Medical Practice,113-131 Days Road Croydon Park SA 5008,Croydon Park,SA,5008,138.566498,-34.875809,87bfa9c4-ef4c-40d3-3129-6d2680c2f4d0,General practice service,GASA_425073285,GENERAL PRACTICE,2024-03-05
5222,active,Village Clinic,129 Mount Eliza Way Mount Eliza VIC 3930,Mount Eliza,VIC,3930,145.0899353,-38.18651581,96d45eb0-0d78-c0a1-32a0-2f65dc728d0e,General practice service,GAVIC423227064,GENERAL PRACTICE,2024-03-05
5223,active,Norton Summit Medical Centre,3 Crescent Drive Norton Summit SA 5136,Norton Summit,SA,5136,138.7250519,-34.92346191,1d1b00b4-3fde-9d54-1197-8a918d09e1f1,General practice service,,GENERAL PRACTICE,2024-03-05
5224,active,The Doctors Glendale,387 Lake Road Glendale NSW 2285,Glendale,NSW,2285,151.6426693,-32.93488523,359328f0-8085-4931-9b98-30c6723e5012,General practice service,GANSW717216831,GENERAL PRACTICE,2024-03-05
5225,active,Kings Meadows Medical Centre,86 C Hobart Road Kings Meadows TAS 7249,Kings Meadows,TAS,7249,147.1586088,-41.4652729,bba74a81-eb78-745c-1626-8f995f648750,General practice service,GATAS702761068,GENERAL PRACTICE,2024-03-05
5226,active,Hyde Parade Family Practice,4 Hyde Parade Campbelltown NSW 2560,Campbelltown,NSW,2560,150.8049774,-34.07439423,340cfe87-ba07-53aa-b368-157e9003f27c,General practice service,,GENERAL PRACTICE,2024-03-05
5227,active,Pandanus Medical NT,356-366 Bagot Road Millner NT 0810,Millner,NT,810,130.8574219,-12.39134884,46c40c8e-b79c-e4dc-64d0-c98dcd91083e,General practice service,,GENERAL PRACTICE,2024-03-05
5228,active,Carina Medical and Specialist Centre,396 Stanley Road Carina QLD 4152,Carina,QLD,4152,153.1006165,-27.48959923,e78a67af-cbcf-446d-b788-bc521f18b7d7,General practice service,,GENERAL PRACTICE,2024-03-05
5229,active,Canterbury Garden Medical Centre,51 Blandford Crescent Bayswater North VIC 3153,Bayswater North,VIC,3153,145.2935181,-37.83005142,7b17bdc5-28fa-7804-a7ba-67fa9a3d2456,General practice service,,GENERAL PRACTICE,2024-03-05
5230,active,National Institute of Integrative Medicine (NIIM),21 Burwood Road Hawthorn VIC 3122,Hawthorn,VIC,3122,145.0228577,-37.8209343,9678907c-d40b-dedc-b7a0-ec25effa1820,General practice service,,GENERAL PRACTICE,2024-03-05
5231,active,The Glen Superclinic,235 Springvale Road Glen Waverley VIC 3150,Glen Waverley,VIC,3150,145.165208,-37.876301,9773e801-889d-43a5-96e2-f882fb620ea6,General practice service,,GENERAL PRACTICE,2024-03-05
5232,active,Drysdale Bulk Billing Medical Centre,46 Wyndham Street Drysdale VIC 3222,Drysdale,VIC,3222,144.566864,-38.17226791,be3705de-ef26-4600-88dd-7a1e44366094,General practice service,GAVIC421722626,GENERAL PRACTICE,2024-03-05
5233,active,VMG Clinics,39 Stuart Highway Stuart Park NT 0820,Stuart Park,NT,820,130.840594,-12.44867435,e3690eaf-0c4c-4990-826a-14139c4ca9e5,General practice service,GANT_703834208,GENERAL PRACTICE,2024-03-05
5234,active,Binjari Community Health Centre,Binjari Community Binjari NT 0852,Binjari,NT,852,132.1811218,-14.55255985,082eadc6-fb2b-60b6-81ea-a97639a0a8b8,General practice service,,GENERAL PRACTICE,2024-03-05
5235,active,Ringwood Family Medical Centre,59-65 Maroondah Highway Ringwood VIC 3134,Ringwood,VIC,3134,145.2223511,-37.81603241,5bed1911-ccc5-672b-edf5-11a292b66eba,General practice service,,GENERAL PRACTICE,2024-03-05
5236,active,Dale Medical Centre,629 Ranford Road Forrestdale WA 6112,Forrestdale,WA,6112,115.9719477,-32.1434863,dc511ce9-5aea-408a-9c03-41de1f7e1cf3,General practice service,GAWA_719038467,GENERAL PRACTICE,2024-03-05
