State,Quarter,Broad Type of Service,MBS Bulk Billing Rate (%), Avg Patient Contribution Per Service ($)
ACT,2018-19 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,91.8%,74.44
ACT,2018-19 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,91.8%,74.44
Australia,2018-19 Q2 (Dec Qtr),Other MBS Services,60.4%,112.55
NSW,2018-19 Q2 (Dec Qtr),Other MBS Services,63.1%,115.86
NSW,2018-19 Q2 (Dec Qtr),Other MBS Services,60.8%,158.98
NSW,2018-19 Q2 (Dec Qtr),Other MBS Services,46.2%,120.92
NSW,2018-19 Q2 (Dec Qtr),Other MBS Services,71.4%,140.64
NSW,2018-19 Q2 (Dec Qtr),Other MBS Services,68.3%,150.94
NSW,2018-19 Q2 (Dec Qtr),Other MBS Services,73.8%,114.12
NSW,2018-19 Q2 (Dec Qtr),Other MBS Services,68.4%,88.22
NSW,2018-19 Q2 (Dec Qtr),Other MBS Services,65.0%,87.77
NSW,2018-19 Q2 (Dec Qtr),Other MBS Services,63.3%,89.14
NSW,2018-19 Q2 (Dec Qtr),Other MBS Services,60.6%,65.06
NSW,2018-19 Q2 (Dec Qtr),Other MBS Services,54.4%,62.65
Vic,2018-19 Q2 (Dec Qtr),Other MBS Services,62.6%,137.96
Vic,2018-19 Q2 (Dec Qtr),Other MBS Services,69.4%,224.43
Vic,2018-19 Q2 (Dec Qtr),Other MBS Services,58.7%,126.30
Vic,2018-19 Q2 (Dec Qtr),Other MBS Services,58.8%,132.11
Vic,2018-19 Q2 (Dec Qtr),Other MBS Services,72.0%,89.25
Vic,2018-19 Q2 (Dec Qtr),Other MBS Services,64.2%,96.12
Vic,2018-19 Q2 (Dec Qtr),Other MBS Services,59.9%,96.38
Qld,2018-19 Q2 (Dec Qtr),Other MBS Services,54.8%,100.88
Qld,2018-19 Q2 (Dec Qtr),Other MBS Services,51.6%,108.85
Qld,2018-19 Q2 (Dec Qtr),Other MBS Services,52.6%,110.81
Qld,2018-19 Q2 (Dec Qtr),Other MBS Services,54.3%,102.39
Qld,2018-19 Q2 (Dec Qtr),Other MBS Services,53.5%,83.31
Qld,2018-19 Q2 (Dec Qtr),Other MBS Services,64.8%,117.93
Qld,2018-19 Q2 (Dec Qtr),Other MBS Services,59.4%,81.26
Qld,2018-19 Q2 (Dec Qtr),Other MBS Services,57.3%,112.27
SA,2018-19 Q2 (Dec Qtr),Other MBS Services,55.5%,80.33
SA,2018-19 Q2 (Dec Qtr),Other MBS Services,53.8%,84.78
SA,2018-19 Q2 (Dec Qtr),Other MBS Services,59.8%,68.92
WA,2018-19 Q2 (Dec Qtr),Other MBS Services,59.8%,96.77
WA,2018-19 Q2 (Dec Qtr),Other MBS Services,58.6%,100.24
WA,2018-19 Q2 (Dec Qtr),Other MBS Services,61.3%,96.18
WA,2018-19 Q2 (Dec Qtr),Other MBS Services,59.8%,88.48
Tas,2018-19 Q2 (Dec Qtr),Other MBS Services,64.9%,68.11
Tas,2018-19 Q2 (Dec Qtr),Other MBS Services,64.9%,68.11
NT,2018-19 Q2 (Dec Qtr),Other MBS Services,81.7%,311.62
NT,2018-19 Q2 (Dec Qtr),Other MBS Services,81.7%,311.62
ACT,2018-19 Q2 (Dec Qtr),Other MBS Services,57.9%,148.89
ACT,2018-19 Q2 (Dec Qtr),Other MBS Services,57.9%,148.89
Unk,2018-19 Q2 (Dec Qtr),Other MBS Services,55.6%,13.30
Unk,2018-19 Q2 (Dec Qtr),Other MBS Services,55.6%,13.30
Australia,2018-19 Q1 (Sep Qtr),Total Medicare,78.5%,63.67
NSW,2018-19 Q1 (Sep Qtr),Total Medicare,79.4%,69.20
NSW,2018-19 Q1 (Sep Qtr),Total Medicare,77.2%,81.29
NSW,2018-19 Q1 (Sep Qtr),Total Medicare,67.0%,73.44
NSW,2018-19 Q1 (Sep Qtr),Total Medicare,86.9%,85.24
NSW,2018-19 Q1 (Sep Qtr),Total Medicare,84.4%,72.24
NSW,2018-19 Q1 (Sep Qtr),Total Medicare,87.6%,78.88
NSW,2018-19 Q1 (Sep Qtr),Total Medicare,79.0%,59.55
NSW,2018-19 Q1 (Sep Qtr),Total Medicare,82.3%,57.45
NSW,2018-19 Q1 (Sep Qtr),Total Medicare,77.2%,57.29
NSW,2018-19 Q1 (Sep Qtr),Total Medicare,79.2%,52.08
NSW,2018-19 Q1 (Sep Qtr),Total Medicare,75.6%,54.76
Vic,2018-19 Q1 (Sep Qtr),Total Medicare,78.1%,62.73
Vic,2018-19 Q1 (Sep Qtr),Total Medicare,83.7%,70.71
Vic,2018-19 Q1 (Sep Qtr),Total Medicare,75.2%,64.13
Vic,2018-19 Q1 (Sep Qtr),Total Medicare,75.6%,65.47
Vic,2018-19 Q1 (Sep Qtr),Total Medicare,79.9%,52.38
Vic,2018-19 Q1 (Sep Qtr),Total Medicare,77.5%,49.03
Vic,2018-19 Q1 (Sep Qtr),Total Medicare,76.0%,54.76
Qld,2018-19 Q1 (Sep Qtr),Total Medicare,78.7%,60.08
Qld,2018-19 Q1 (Sep Qtr),Total Medicare,75.5%,61.18
Qld,2018-19 Q1 (Sep Qtr),Total Medicare,78.9%,63.73
Qld,2018-19 Q1 (Sep Qtr),Total Medicare,80.8%,64.10
Qld,2018-19 Q1 (Sep Qtr),Total Medicare,79.8%,56.71
Qld,2018-19 Q1 (Sep Qtr),Total Medicare,82.0%,64.54
Qld,2018-19 Q1 (Sep Qtr),Total Medicare,78.8%,55.26
Qld,2018-19 Q1 (Sep Qtr),Total Medicare,79.8%,56.82
SA,2018-19 Q1 (Sep Qtr),Total Medicare,78.4%,53.70
SA,2018-19 Q1 (Sep Qtr),Total Medicare,78.5%,54.93
SA,2018-19 Q1 (Sep Qtr),Total Medicare,78.4%,50.80
WA,2018-19 Q1 (Sep Qtr),Total Medicare,77.6%,65.77
WA,2018-19 Q1 (Sep Qtr),Total Medicare,75.5%,66.74
WA,2018-19 Q1 (Sep Qtr),Total Medicare,79.3%,66.83
WA,2018-19 Q1 (Sep Qtr),Total Medicare,78.7%,61.45
Tas,2018-19 Q1 (Sep Qtr),Total Medicare,75.7%,50.11
Tas,2018-19 Q1 (Sep Qtr),Total Medicare,75.7%,50.11
NT,2018-19 Q1 (Sep Qtr),Total Medicare,89.0%,75.09
NT,2018-19 Q1 (Sep Qtr),Total Medicare,89.0%,75.09
ACT,2018-19 Q1 (Sep Qtr),Total Medicare,68.1%,66.37
ACT,2018-19 Q1 (Sep Qtr),Total Medicare,68.1%,66.37
Unk,2018-19 Q1 (Sep Qtr),Total Medicare,86.6%,77.10
Unk,2018-19 Q1 (Sep Qtr),Total Medicare,86.6%,77.10
Australia,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,86.1%,37.36
NSW,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,88.9%,36.40
NSW,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,88.2%,40.07
NSW,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,77.3%,39.44
NSW,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,96.8%,35.75
NSW,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,94.2%,32.74
NSW,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,96.5%,31.89
NSW,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,86.0%,34.88
NSW,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,88.6%,33.99
NSW,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,84.7%,34.70
NSW,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,86.2%,33.75
NSW,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,83.6%,32.25
Vic,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,85.3%,37.28
Vic,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,90.3%,38.12
Vic,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,84.2%,37.54
Vic,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,83.4%,40.16
Vic,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,84.9%,34.17
Vic,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,80.5%,31.95
Vic,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,81.8%,35.21
Qld,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,85.7%,37.91
Qld,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,81.4%,37.68
Qld,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,86.9%,39.16
Qld,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,90.6%,40.00
Qld,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,88.6%,36.79
Qld,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,86.5%,36.18
Qld,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,85.5%,36.41
Qld,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,82.5%,37.90
SA,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,84.9%,32.91
SA,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,86.2%,32.93
SA,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,81.5%,32.86
WA,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,84.9%,39.16
WA,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,83.0%,38.83
WA,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,88.2%,38.75
WA,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,81.8%,40.46
Tas,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,77.2%,38.01
Tas,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,77.2%,38.01
NT,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,89.3%,46.21
NT,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,89.3%,46.21
ACT,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,63.1%,44.18
ACT,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,63.1%,44.18
Unk,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,94.0%,48.22
Unk,2018-19 Q1 (Sep Qtr),Total GP Non-Referred Attendances,94.0%,48.22
Australia,2018-19 Q1 (Sep Qtr),Practice Nurse,99.6%,6.39
NSW,2018-19 Q1 (Sep Qtr),Practice Nurse,99.7%,5.89
NSW,2018-19 Q1 (Sep Qtr),Practice Nurse,99.6%,35.51
NSW,2018-19 Q1 (Sep Qtr),Practice Nurse,98.8%,3.11
NSW,2018-19 Q1 (Sep Qtr),Practice Nurse,99.8%,9.14
NSW,2018-19 Q1 (Sep Qtr),Practice Nurse,99.7%,1.80
NSW,2018-19 Q1 (Sep Qtr),Practice Nurse,99.2%,0.42
NSW,2018-19 Q1 (Sep Qtr),Practice Nurse,99.7%,0.34
NSW,2018-19 Q1 (Sep Qtr),Practice Nurse,99.9%,5.20
NSW,2018-19 Q1 (Sep Qtr),Practice Nurse,99.8%,2.54
NSW,2018-19 Q1 (Sep Qtr),Practice Nurse,99.7%,1.71
NSW,2018-19 Q1 (Sep Qtr),Practice Nurse,99.5%,1.21
Vic,2018-19 Q1 (Sep Qtr),Practice Nurse,99.5%,8.41
Vic,2018-19 Q1 (Sep Qtr),Practice Nurse,99.8%,3.07
Vic,2018-19 Q1 (Sep Qtr),Practice Nurse,99.9%,7.83
Vic,2018-19 Q1 (Sep Qtr),Practice Nurse,99.5%,11.74
Vic,2018-19 Q1 (Sep Qtr),Practice Nurse,99.8%,10.47
Vic,2018-19 Q1 (Sep Qtr),Practice Nurse,99.5%,1.74
Vic,2018-19 Q1 (Sep Qtr),Practice Nurse,98.7%,10.43
Qld,2018-19 Q1 (Sep Qtr),Practice Nurse,99.6%,9.51
Qld,2018-19 Q1 (Sep Qtr),Practice Nurse,99.8%,16.89
Qld,2018-19 Q1 (Sep Qtr),Practice Nurse,99.8%,0.32
Qld,2018-19 Q1 (Sep Qtr),Practice Nurse,99.7%,2.37
Qld,2018-19 Q1 (Sep Qtr),Practice Nurse,99.9%,2.56
Qld,2018-19 Q1 (Sep Qtr),Practice Nurse,100.0%,0.00
Qld,2018-19 Q1 (Sep Qtr),Practice Nurse,99.9%,0.67
Qld,2018-19 Q1 (Sep Qtr),Practice Nurse,98.6%,12.79
SA,2018-19 Q1 (Sep Qtr),Practice Nurse,99.2%,1.74
SA,2018-19 Q1 (Sep Qtr),Practice Nurse,99.0%,0.79
SA,2018-19 Q1 (Sep Qtr),Practice Nurse,99.5%,6.05
WA,2018-19 Q1 (Sep Qtr),Practice Nurse,99.6%,6.47
WA,2018-19 Q1 (Sep Qtr),Practice Nurse,99.8%,4.25
WA,2018-19 Q1 (Sep Qtr),Practice Nurse,99.4%,8.32
WA,2018-19 Q1 (Sep Qtr),Practice Nurse,99.7%,2.27
Tas,2018-19 Q1 (Sep Qtr),Practice Nurse,99.6%,3.65
Tas,2018-19 Q1 (Sep Qtr),Practice Nurse,99.6%,3.65
NT,2018-19 Q1 (Sep Qtr),Practice Nurse,100.0%,19.00
NT,2018-19 Q1 (Sep Qtr),Practice Nurse,100.0%,19.00
ACT,2018-19 Q1 (Sep Qtr),Practice Nurse,99.8%,2.65
ACT,2018-19 Q1 (Sep Qtr),Practice Nurse,99.8%,2.65
Unk,2018-19 Q1 (Sep Qtr),Practice Nurse,100.0%,-
Unk,2018-19 Q1 (Sep Qtr),Practice Nurse,100.0%,-
Australia,2018-19 Q1 (Sep Qtr),Other Allied Health,61.5%,47.15
NSW,2018-19 Q1 (Sep Qtr),Other Allied Health,58.5%,45.49
NSW,2018-19 Q1 (Sep Qtr),Other Allied Health,52.9%,56.76
NSW,2018-19 Q1 (Sep Qtr),Other Allied Health,36.1%,58.17
NSW,2018-19 Q1 (Sep Qtr),Other Allied Health,71.1%,49.74
NSW,2018-19 Q1 (Sep Qtr),Other Allied Health,60.4%,48.98
NSW,2018-19 Q1 (Sep Qtr),Other Allied Health,74.4%,37.69
NSW,2018-19 Q1 (Sep Qtr),Other Allied Health,56.0%,32.89
NSW,2018-19 Q1 (Sep Qtr),Other Allied Health,64.4%,42.21
NSW,2018-19 Q1 (Sep Qtr),Other Allied Health,53.8%,37.52
NSW,2018-19 Q1 (Sep Qtr),Other Allied Health,61.3%,29.79
NSW,2018-19 Q1 (Sep Qtr),Other Allied Health,62.3%,35.32
Vic,2018-19 Q1 (Sep Qtr),Other Allied Health,60.1%,47.35
Vic,2018-19 Q1 (Sep Qtr),Other Allied Health,66.2%,53.81
Vic,2018-19 Q1 (Sep Qtr),Other Allied Health,55.5%,47.69
Vic,2018-19 Q1 (Sep Qtr),Other Allied Health,55.4%,49.43
Vic,2018-19 Q1 (Sep Qtr),Other Allied Health,60.2%,29.28
Vic,2018-19 Q1 (Sep Qtr),Other Allied Health,66.8%,39.93
Vic,2018-19 Q1 (Sep Qtr),Other Allied Health,59.7%,37.78
Qld,2018-19 Q1 (Sep Qtr),Other Allied Health,66.7%,46.95
Qld,2018-19 Q1 (Sep Qtr),Other Allied Health,62.3%,53.35
Qld,2018-19 Q1 (Sep Qtr),Other Allied Health,65.1%,52.95
Qld,2018-19 Q1 (Sep Qtr),Other Allied Health,69.4%,42.55
Qld,2018-19 Q1 (Sep Qtr),Other Allied Health,71.8%,41.38
Qld,2018-19 Q1 (Sep Qtr),Other Allied Health,78.6%,45.68
Qld,2018-19 Q1 (Sep Qtr),Other Allied Health,67.4%,39.24
Qld,2018-19 Q1 (Sep Qtr),Other Allied Health,68.4%,43.96
SA,2018-19 Q1 (Sep Qtr),Other Allied Health,72.2%,47.14
SA,2018-19 Q1 (Sep Qtr),Other Allied Health,72.4%,49.54
SA,2018-19 Q1 (Sep Qtr),Other Allied Health,71.4%,39.38
WA,2018-19 Q1 (Sep Qtr),Other Allied Health,61.5%,52.31
WA,2018-19 Q1 (Sep Qtr),Other Allied Health,57.0%,54.56
WA,2018-19 Q1 (Sep Qtr),Other Allied Health,66.9%,53.59
WA,2018-19 Q1 (Sep Qtr),Other Allied Health,59.7%,41.91
Tas,2018-19 Q1 (Sep Qtr),Other Allied Health,50.2%,33.90
Tas,2018-19 Q1 (Sep Qtr),Other Allied Health,50.2%,33.90
NT,2018-19 Q1 (Sep Qtr),Other Allied Health,68.1%,65.37
NT,2018-19 Q1 (Sep Qtr),Other Allied Health,68.1%,65.37
ACT,2018-19 Q1 (Sep Qtr),Other Allied Health,26.9%,67.18
ACT,2018-19 Q1 (Sep Qtr),Other Allied Health,26.9%,67.18
Unk,2018-19 Q1 (Sep Qtr),Other Allied Health,75.0%,24.55
Unk,2018-19 Q1 (Sep Qtr),Other Allied Health,75.0%,24.55
Australia,2018-19 Q1 (Sep Qtr),Specialist Attendances,31.4%,80.18
NSW,2018-19 Q1 (Sep Qtr),Specialist Attendances,35.9%,87.69
NSW,2018-19 Q1 (Sep Qtr),Specialist Attendances,36.2%,94.75
NSW,2018-19 Q1 (Sep Qtr),Specialist Attendances,23.2%,93.43
NSW,2018-19 Q1 (Sep Qtr),Specialist Attendances,44.9%,90.85
NSW,2018-19 Q1 (Sep Qtr),Specialist Attendances,41.3%,87.12
NSW,2018-19 Q1 (Sep Qtr),Specialist Attendances,47.3%,90.90
NSW,2018-19 Q1 (Sep Qtr),Specialist Attendances,37.2%,84.99
NSW,2018-19 Q1 (Sep Qtr),Specialist Attendances,44.6%,86.85
NSW,2018-19 Q1 (Sep Qtr),Specialist Attendances,31.0%,78.75
NSW,2018-19 Q1 (Sep Qtr),Specialist Attendances,33.8%,72.12
NSW,2018-19 Q1 (Sep Qtr),Specialist Attendances,25.5%,76.14
Vic,2018-19 Q1 (Sep Qtr),Specialist Attendances,30.4%,75.06
Vic,2018-19 Q1 (Sep Qtr),Specialist Attendances,37.4%,79.10
Vic,2018-19 Q1 (Sep Qtr),Specialist Attendances,25.8%,75.49
Vic,2018-19 Q1 (Sep Qtr),Specialist Attendances,26.5%,77.63
Vic,2018-19 Q1 (Sep Qtr),Specialist Attendances,41.5%,69.03
Vic,2018-19 Q1 (Sep Qtr),Specialist Attendances,32.3%,68.00
Vic,2018-19 Q1 (Sep Qtr),Specialist Attendances,30.2%,67.33
Qld,2018-19 Q1 (Sep Qtr),Specialist Attendances,26.8%,79.70
Qld,2018-19 Q1 (Sep Qtr),Specialist Attendances,24.7%,81.71
Qld,2018-19 Q1 (Sep Qtr),Specialist Attendances,26.2%,78.22
Qld,2018-19 Q1 (Sep Qtr),Specialist Attendances,26.2%,77.94
Qld,2018-19 Q1 (Sep Qtr),Specialist Attendances,27.1%,75.90
Qld,2018-19 Q1 (Sep Qtr),Specialist Attendances,34.1%,91.22
Qld,2018-19 Q1 (Sep Qtr),Specialist Attendances,26.1%,80.20
Qld,2018-19 Q1 (Sep Qtr),Specialist Attendances,34.0%,82.90
SA,2018-19 Q1 (Sep Qtr),Specialist Attendances,34.6%,62.77
SA,2018-19 Q1 (Sep Qtr),Specialist Attendances,33.4%,62.50
SA,2018-19 Q1 (Sep Qtr),Specialist Attendances,38.2%,63.60
WA,2018-19 Q1 (Sep Qtr),Specialist Attendances,21.4%,79.99
WA,2018-19 Q1 (Sep Qtr),Specialist Attendances,19.5%,81.51
WA,2018-19 Q1 (Sep Qtr),Specialist Attendances,21.8%,78.62
WA,2018-19 Q1 (Sep Qtr),Specialist Attendances,25.7%,78.83
Tas,2018-19 Q1 (Sep Qtr),Specialist Attendances,33.3%,64.57
Tas,2018-19 Q1 (Sep Qtr),Specialist Attendances,33.3%,64.57
NT,2018-19 Q1 (Sep Qtr),Specialist Attendances,37.5%,92.11
NT,2018-19 Q1 (Sep Qtr),Specialist Attendances,37.5%,92.11
ACT,2018-19 Q1 (Sep Qtr),Specialist Attendances,28.7%,97.65
ACT,2018-19 Q1 (Sep Qtr),Specialist Attendances,28.7%,97.65
Unk,2018-19 Q1 (Sep Qtr),Specialist Attendances,35.7%,114.76
Unk,2018-19 Q1 (Sep Qtr),Specialist Attendances,35.7%,114.76
Australia,2018-19 Q1 (Sep Qtr),Obstetrics,58.1%,261.82
NSW,2018-19 Q1 (Sep Qtr),Obstetrics,60.1%,329.75
NSW,2018-19 Q1 (Sep Qtr),Obstetrics,44.1%,367.40
NSW,2018-19 Q1 (Sep Qtr),Obstetrics,43.3%,422.62
NSW,2018-19 Q1 (Sep Qtr),Obstetrics,77.7%,612.82
NSW,2018-19 Q1 (Sep Qtr),Obstetrics,56.1%,171.92
NSW,2018-19 Q1 (Sep Qtr),Obstetrics,68.3%,397.79
NSW,2018-19 Q1 (Sep Qtr),Obstetrics,62.2%,257.46
NSW,2018-19 Q1 (Sep Qtr),Obstetrics,66.5%,78.94
NSW,2018-19 Q1 (Sep Qtr),Obstetrics,69.6%,211.96
NSW,2018-19 Q1 (Sep Qtr),Obstetrics,64.1%,121.17
NSW,2018-19 Q1 (Sep Qtr),Obstetrics,60.5%,116.17
Vic,2018-19 Q1 (Sep Qtr),Obstetrics,68.5%,362.91
Vic,2018-19 Q1 (Sep Qtr),Obstetrics,72.9%,496.21
Vic,2018-19 Q1 (Sep Qtr),Obstetrics,65.5%,442.68
Vic,2018-19 Q1 (Sep Qtr),Obstetrics,67.4%,414.88
Vic,2018-19 Q1 (Sep Qtr),Obstetrics,73.1%,72.48
Vic,2018-19 Q1 (Sep Qtr),Obstetrics,54.6%,101.64
Vic,2018-19 Q1 (Sep Qtr),Obstetrics,71.1%,242.57
Qld,2018-19 Q1 (Sep Qtr),Obstetrics,50.9%,154.11
Qld,2018-19 Q1 (Sep Qtr),Obstetrics,43.5%,169.25
Qld,2018-19 Q1 (Sep Qtr),Obstetrics,50.8%,174.28
Qld,2018-19 Q1 (Sep Qtr),Obstetrics,58.8%,130.31
Qld,2018-19 Q1 (Sep Qtr),Obstetrics,57.2%,126.87
Qld,2018-19 Q1 (Sep Qtr),Obstetrics,55.0%,159.56
Qld,2018-19 Q1 (Sep Qtr),Obstetrics,42.7%,143.83
Qld,2018-19 Q1 (Sep Qtr),Obstetrics,55.6%,131.43
SA,2018-19 Q1 (Sep Qtr),Obstetrics,51.0%,202.39
SA,2018-19 Q1 (Sep Qtr),Obstetrics,47.8%,261.94
SA,2018-19 Q1 (Sep Qtr),Obstetrics,56.7%,84.47
WA,2018-19 Q1 (Sep Qtr),Obstetrics,45.1%,182.03
WA,2018-19 Q1 (Sep Qtr),Obstetrics,37.0%,228.10
WA,2018-19 Q1 (Sep Qtr),Obstetrics,52.1%,179.92
WA,2018-19 Q1 (Sep Qtr),Obstetrics,47.1%,80.37
Tas,2018-19 Q1 (Sep Qtr),Obstetrics,47.7%,131.19
Tas,2018-19 Q1 (Sep Qtr),Obstetrics,47.7%,131.19
NT,2018-19 Q1 (Sep Qtr),Obstetrics,71.2%,282.80
NT,2018-19 Q1 (Sep Qtr),Obstetrics,71.2%,282.80
ACT,2018-19 Q1 (Sep Qtr),Obstetrics,46.8%,252.24
ACT,2018-19 Q1 (Sep Qtr),Obstetrics,46.8%,252.24
Australia,2018-19 Q1 (Sep Qtr),Anaesthetics,10.6%,143.30
NSW,2018-19 Q1 (Sep Qtr),Anaesthetics,12.7%,162.75
NSW,2018-19 Q1 (Sep Qtr),Anaesthetics,11.0%,149.20
NSW,2018-19 Q1 (Sep Qtr),Anaesthetics,7.4%,147.26
NSW,2018-19 Q1 (Sep Qtr),Anaesthetics,20.5%,239.00
NSW,2018-19 Q1 (Sep Qtr),Anaesthetics,22.7%,263.18
NSW,2018-19 Q1 (Sep Qtr),Anaesthetics,17.4%,168.15
NSW,2018-19 Q1 (Sep Qtr),Anaesthetics,14.3%,156.58
NSW,2018-19 Q1 (Sep Qtr),Anaesthetics,9.9%,186.83
NSW,2018-19 Q1 (Sep Qtr),Anaesthetics,10.5%,191.81
NSW,2018-19 Q1 (Sep Qtr),Anaesthetics,11.5%,76.72
NSW,2018-19 Q1 (Sep Qtr),Anaesthetics,8.3%,51.71
Vic,2018-19 Q1 (Sep Qtr),Anaesthetics,11.0%,132.66
Vic,2018-19 Q1 (Sep Qtr),Anaesthetics,14.6%,159.53
Vic,2018-19 Q1 (Sep Qtr),Anaesthetics,8.3%,162.59
Vic,2018-19 Q1 (Sep Qtr),Anaesthetics,12.5%,153.34
Vic,2018-19 Q1 (Sep Qtr),Anaesthetics,17.8%,45.68
Vic,2018-19 Q1 (Sep Qtr),Anaesthetics,6.4%,58.98
Vic,2018-19 Q1 (Sep Qtr),Anaesthetics,8.3%,120.04
Qld,2018-19 Q1 (Sep Qtr),Anaesthetics,11.8%,85.80
Qld,2018-19 Q1 (Sep Qtr),Anaesthetics,12.3%,109.88
Qld,2018-19 Q1 (Sep Qtr),Anaesthetics,16.0%,87.77
Qld,2018-19 Q1 (Sep Qtr),Anaesthetics,9.8%,55.79
Qld,2018-19 Q1 (Sep Qtr),Anaesthetics,10.8%,59.83
Qld,2018-19 Q1 (Sep Qtr),Anaesthetics,7.6%,52.34
Qld,2018-19 Q1 (Sep Qtr),Anaesthetics,9.5%,67.28
Qld,2018-19 Q1 (Sep Qtr),Anaesthetics,9.6%,108.51
SA,2018-19 Q1 (Sep Qtr),Anaesthetics,8.7%,177.67
SA,2018-19 Q1 (Sep Qtr),Anaesthetics,8.9%,204.26
SA,2018-19 Q1 (Sep Qtr),Anaesthetics,8.2%,127.40
WA,2018-19 Q1 (Sep Qtr),Anaesthetics,4.9%,224.71
WA,2018-19 Q1 (Sep Qtr),Anaesthetics,4.7%,217.01
WA,2018-19 Q1 (Sep Qtr),Anaesthetics,5.6%,263.24
WA,2018-19 Q1 (Sep Qtr),Anaesthetics,3.6%,162.34
Tas,2018-19 Q1 (Sep Qtr),Anaesthetics,5.4%,84.34
Tas,2018-19 Q1 (Sep Qtr),Anaesthetics,5.4%,84.34
NT,2018-19 Q1 (Sep Qtr),Anaesthetics,3.7%,244.07
NT,2018-19 Q1 (Sep Qtr),Anaesthetics,3.7%,244.07
ACT,2018-19 Q1 (Sep Qtr),Anaesthetics,4.6%,164.73
ACT,2018-19 Q1 (Sep Qtr),Anaesthetics,4.6%,164.73
Australia,2018-19 Q1 (Sep Qtr),Total Pathology,88.0%,24.62
NSW,2018-19 Q1 (Sep Qtr),Total Pathology,86.1%,25.82
NSW,2018-19 Q1 (Sep Qtr),Total Pathology,84.5%,31.66
NSW,2018-19 Q1 (Sep Qtr),Total Pathology,78.6%,27.61
NSW,2018-19 Q1 (Sep Qtr),Total Pathology,89.0%,20.66
NSW,2018-19 Q1 (Sep Qtr),Total Pathology,88.6%,26.14
NSW,2018-19 Q1 (Sep Qtr),Total Pathology,89.6%,21.60
NSW,2018-19 Q1 (Sep Qtr),Total Pathology,87.0%,22.21
NSW,2018-19 Q1 (Sep Qtr),Total Pathology,89.8%,30.22
NSW,2018-19 Q1 (Sep Qtr),Total Pathology,85.7%,24.93
NSW,2018-19 Q1 (Sep Qtr),Total Pathology,88.8%,21.84
NSW,2018-19 Q1 (Sep Qtr),Total Pathology,86.8%,29.00
Vic,2018-19 Q1 (Sep Qtr),Total Pathology,89.5%,24.50
Vic,2018-19 Q1 (Sep Qtr),Total Pathology,92.8%,23.27
Vic,2018-19 Q1 (Sep Qtr),Total Pathology,87.5%,24.72
Vic,2018-19 Q1 (Sep Qtr),Total Pathology,88.0%,22.54
Vic,2018-19 Q1 (Sep Qtr),Total Pathology,90.1%,25.14
Vic,2018-19 Q1 (Sep Qtr),Total Pathology,90.1%,24.29
